case_key,case,outer_fold,branch,method,target_class,fraction,original_prob,random_prob_mean,random_prob_sd
FAITH_009,F2_benefit_correction,2,CORAL-MSaux,Integrated Gradients,1,0.2,0.4028988182544708,0.2866556912660599,0.0711572466752897
FAITH_009,F2_benefit_correction,2,CORAL-MSaux,Integrated Gradients,1,0.3,0.4028988182544708,0.2720796316862106,0.0706376312592005
FAITH_009,F2_benefit_correction,2,CORAL-MSaux,Occlusion,1,0.05,0.4028988182544708,0.3589751988649368,0.0380628421617425
FAITH_009,F2_benefit_correction,2,CORAL-MSaux,Occlusion,1,0.1,0.4028988182544708,0.3443176195025444,0.0573661728101993
FAITH_009,F2_benefit_correction,2,CORAL-MSaux,Occlusion,1,0.2,0.4028988182544708,0.3088792786002159,0.0636261673547282
FAITH_009,F2_benefit_correction,2,CORAL-MSaux,Occlusion,1,0.3,0.4028988182544708,0.301398891210556,0.0831317886494066
FAITH_009,F2_benefit_correction,2,Original DeiT,Integrated Gradients,3,0.05,0.5129826068878174,0.4800684981048107,0.1300465606628487
FAITH_009,F2_benefit_correction,2,Original DeiT,Integrated Gradients,3,0.1,0.5129826068878174,0.573055773973465,0.1543770132335302
FAITH_009,F2_benefit_correction,2,Original DeiT,Integrated Gradients,3,0.2,0.5129826068878174,0.5529343292117119,0.148467449813935
FAITH_009,F2_benefit_correction,2,Original DeiT,Integrated Gradients,3,0.3,0.5129826068878174,0.428764721006155,0.1466186839135279
FAITH_009,F2_benefit_correction,2,Original DeiT,Occlusion,3,0.05,0.5129826068878174,0.4891672827303409,0.1723180170373842
FAITH_009,F2_benefit_correction,2,Original DeiT,Occlusion,3,0.1,0.5129826068878174,0.587918347120285,0.1072338523526989
FAITH_009,F2_benefit_correction,2,Original DeiT,Occlusion,3,0.2,0.5129826068878174,0.5409994661808014,0.1307305228742296
FAITH_009,F2_benefit_correction,2,Original DeiT,Occlusion,3,0.3,0.5129826068878174,0.523616100102663,0.1295938434784558
FAITH_010,F2_boundary_disagreement,2,CORAL-MSaux,Integrated Gradients,0,0.05,0.4962782263755798,0.474387976527214,0.0279642316825335
FAITH_010,F2_boundary_disagreement,2,CORAL-MSaux,Integrated Gradients,0,0.1,0.4962782263755798,0.4471555233001709,0.0280827487042553
FAITH_010,F2_boundary_disagreement,2,CORAL-MSaux,Integrated Gradients,0,0.2,0.4962782263755798,0.3948773071169853,0.0357345062320034
